data_pull_date,card_number,amount_due,due_in_30_days,due_in_60_days,due_in_90_days,due_in_120_days,due_in_150_days,due_in_180_days,due_in_210_days
2025-02-18,5586873537834001,823903,796961,991125,821734,636866,681604,1013385,562029
2025-02-18,4433324016570793,601384,1612257,748206,2178255,125253,654563,658406,2097075
2025-02-18,9966468417370374,14379,21285,206410,235768,15529,45984,16104,46442
2025-02-18,5586417538977096,54396,90992,21449,150254,19910,102458,57586,19620
2025-02-18,1100341223391889,98124,141437,237383,161276,226137,191385,285137,57276
2025-02-18,1100308596602398,131998,76967,183507,249543,75349,65844,90820,16535
2025-02-18,4433934319724132,58357,30409,194496,141182,15529,15816,138169,29563
2025-02-18,9966181558324850,822404,484579,991410,1096113,528425,395424,696316,504607
2025-02-18,9966099737516705,106264,104965,74642,1782135,546048,80035,182677,30537
2025-02-18,4433326937570134,591331,489260,967549,976480,610954,674544,835672,1013751
2025-02-18,1100165332612027,706650,259182,1092780,910542,660440,810808,784593,516959
2025-02-18,9966162750794190,178396,37857,234848,183690,15529,1788538,314408,28576
2025-02-18,1100512262351247,1383409,266684,617615,1868460,49219,1802320,139926,1020437
2025-02-18,1100526311088850,14379,14666,268506,235949,56150,15816,16104,16535
2025-02-18,4433320168065072,149336,107219,208182,15241,113582,15816,73949,65101
2025-02-18,5586482691742611,200749,14666,14954,176530,88501,128955,109654,159653
2025-02-18,5586512181257714,144082,61010,136856,144441,91266,26144,210804,68775
2025-02-18,5586418670733677,231551,28739,149401,173282,161731,105421,39320,122863
2025-02-18,4433401167969701,432233,759766,1881866,1026173,637230,408706,426489,627979
2025-02-18,4433455390577693,528369,600917,838478,798057,444800,836442,680760,340037
2025-02-18,4433408053750997,147852,14666,129284,165688,15529,15816,16104,16535
2025-02-18,1100164863866808,129999,162438,114222,179800,124891,15816,103576,120758
2025-02-18,5586673123970248,601535,563318,970413,935493,722727,709856,422868,403909
2025-02-18,1100019928341384,14379,14666,109485,88341,15529,15816,18220,65014
2025-02-18,4433688626876082,150193,44608,145649,245804,38361,15816,159567,18137
2025-02-18,4433176265031383,161628,64571,165822,110977,134570,111992,259533,163802
2025-02-18,4433510641442277,577720,538817,1189672,1137278,385588,513752,834349,406714
2025-02-18,1100481270482068,1618914,513218,1015117,828514,759851,58305,193767,209687
2025-02-18,4433574649018650,679054,477168,1911868,109359,160497,15816,124678,240662
2025-02-18,1100967219504785,560164,1219813,797460,1003874,1670529,1312025,439164,640396
2025-02-18,4433762770152618,189313,669846,216645,2130939,166784,139758,146127,615356
2025-02-18,9966203554811257,641101,873049,745431,258135,579491,841943,159681,411444
2025-02-18,4433985966733760,46326,14666,131159,195859,15529,15816,54386,44631
2025-02-18,4433794619246740,91526,14666,251709,231220,1703911,1111885,42734,97382
2025-02-18,9966003609230741,216810,89664,75245,78025,164574,116588,256696,16535
2025-02-18,4433068637879382,54578,27939,128670,198591,74428,15816,16104,91909
2025-02-18,1100795768444931,169506,69924,203263,165679,101319,78183,191999,120386
2025-02-18,9966827932790333,59221,94986,145407,88083,15529,43786,177089,114928
2025-02-18,4433195392994436,611639,457636,969179,1161066,576961,482426,673475,398387
2025-02-18,4433365684193448,76414,111349,128203,258656,85538,16843,84712,69297
2025-02-18,9966860273987767,89921,41988,239066,215293,102303,15816,16104,175873
2025-02-18,9966325234166945,94318,89327,37372,143133,15529,40182,34663,186957
2025-02-18,5586884010874403,41396,14666,45675,128843,15529,21431,174069,62970
2025-02-18,4433896468296789,419135,1294724,526856,2675523,586878,646741,1721532,709030
2025-02-18,9966828824453855,948859,772310,2802085,1110358,822267,990484,639158,778270
2025-02-18,9966431659881063,161977,118721,91360,304493,42140,291300,191237,134370
2025-02-18,1100144276155926,470242,332204,805262,710955,419980,616366,941231,1093078
2025-02-18,1100994973937865,111004,15299,117198,225235,15529,77120,83656,129848
2025-02-18,9966775037298659,68430,71871,117522,112020,196962,226227,120402,132264
2025-02-18,1100616290238804,63355,51897,224276,303671,15529,97399,186568,88412
2025-02-18,1100791522630196,14379,14666,104352,141749,15529,15816,58501,16535
2025-02-18,1100249245995714,783000,487317,738022,1105112,882584,677165,814023,933069
2025-02-18,1100821395103580,358097,624089,827739,1028782,589611,796082,592621,581392
2025-02-18,9966442350109600,65519,14666,130330,118996,135874,127850,64113,16535
2025-02-18,5586583721501093,14379,14666,36595,54693,15529,15816,64333,16535
2025-02-18,1100775441405776,814288,586046,597060,882605,850221,670414,809217,2227196
2025-02-18,1100525215472236,532523,245914,1030170,985773,697550,977364,2258611,783768
2025-02-18,5586683340123717,124573,569969,655147,2703640,2020737,2555720,186293,610095
