data_pull_date,card_number,account_type,block_code,credit_limit,product_id,bill_cycle_end_date,payment_due_date,account_open_date,account_number,avg_spend,credit_utilised
2025-02-18,4433985966733759,rewards,C,500000,R44,2024-11-30,2025-01-08,2015-06-16,577469432514,77002,28
2025-02-18,4433794619246739,rewards,B,250000,R44,2024-12-28,2025-01-28,2022-03-02,376061234823,119862,25
2025-02-18,9966003609230740,business,A,100000,B99,2025-01-19,2025-02-21,2016-01-08,680598273692,14843,17
2025-02-18,4433068637879381,rewards,D,500000,R44,2025-01-06,2025-02-08,2020-02-06,995778360892,48297,31
2025-02-18,1100795768444930,corporate,A,250000,C11,2024-12-15,2025-01-09,2015-09-07,866448044435,71616,25
2025-02-18,9966827932790332,business,A,500000,B99,2025-01-05,2025-02-07,2022-08-31,652469417820,136408,11
2025-02-18,4433195392994435,rewards,B,1000000,R44,2025-01-07,2025-02-14,2015-05-18,024445890459,343503,23
2025-02-18,4433365684193447,rewards,C,250000,R44,2024-12-23,2025-01-29,2018-05-10,057627546892,91759,2
2025-02-18,9966860273987766,business,B,100000,B99,2024-12-02,2025-01-04,2016-07-15,262887301329,19371,36
2025-02-18,9966325234166944,business,B,250000,B99,2024-11-30,2025-01-04,2021-06-13,857672299442,10139,74
2025-02-18,5586884010874402,standard,C,1000000,S55,2024-12-18,2025-01-23,2019-01-12,122624814439,471424,42
2025-02-18,4433896468296788,rewards,C,250000,R44,2025-01-17,2025-02-20,2017-07-23,048145719249,45780,58
2025-02-18,9966828824453854,business,D,1000000,B99,2025-01-13,2025-02-18,2015-11-23,459537236077,315103,51
2025-02-18,9966431659881062,business,C,250000,B99,2024-12-28,2025-01-24,2019-12-13,381517915399,74816,2
2025-02-18,1100144276155925,corporate,B,250000,C11,2024-12-21,2025-01-30,2019-02-23,315735201801,96629,30
2025-02-18,1100994973937864,corporate,C,100000,C11,2025-01-09,2025-02-16,2022-10-26,150053698874,11549,21
2025-02-18,9966775037298658,business,A,100000,B99,2024-12-01,2025-01-01,2015-12-07,836398290581,30223,72
2025-02-18,1100616290238803,corporate,D,500000,C11,2025-01-11,2025-02-05,2016-06-15,898533426478,16133,56
2025-02-18,1100791522630195,corporate,D,250000,C11,2024-11-29,2024-12-29,2021-12-02,588676751649,82065,27
2025-02-18,1100249245995713,corporate,C,500000,C11,2024-12-13,2025-01-09,2016-07-26,755538121548,231959,77
2025-02-18,1100821395103579,corporate,D,3000000,C11,2025-01-12,2025-02-14,2016-01-07,196937962665,1444648,12
2025-02-18,9966442350109599,business,B,3000000,B99,2024-11-25,2025-01-02,2018-02-01,495459376380,1471045,3
2025-02-18,5586583721501092,standard,D,1000000,S55,2025-01-11,2025-02-10,2022-02-26,889516171868,69673,41
2025-02-18,1100775441405775,corporate,D,50000,C11,2025-01-16,2025-02-22,2022-10-27,403150158040,16312,47
2025-02-18,1100525215472235,corporate,A,250000,C11,2025-01-03,2025-02-03,2021-04-03,637095673572,46209,86
2025-02-18,5586683340123716,standard,C,100000,S55,2024-12-05,2025-01-13,2018-06-20,239826927025,25776,98
